Abstract,Author,Document Title,PDF Link,Year
"we consider the problem of learning a general graph $g=(v,e)$ using.edge-detecting queries, where the number of vertices $|v|=n$ is given to the.learner. the information theoretic lower bound gives $m\log n$ for the number.of queries, where $m=|e|$ is the number of edges. in case the number of edges.$m$ is also given to the learner, angluin-chen's las vegas algorithm.\cite{ac08} runs in $4$ rounds and detects the edges in $o(m\log n)$ queries..in the other harder case where the number of edges $m$ is unknown, their.algorithm runs in $5$ rounds and asks $o(m\log n+\sqrt{m}\log^2 n)$ queries..there have been two open problems: \emph{(i)} can the number of queries be.reduced to $o(m\log n)$ in the second case, and, \emph{(ii)} can the number of.rounds be reduced without substantially increasing the number of queries (in.both cases). for the first open problem (when $m$ is unknown) we give two.algorithms. the first is an $o(1)$-round las vegas algorithm that asks $m\log.n+\sqrt{m}(\log^{[k]}n)\log n$ queries for any constant $k$ where.$\log^{[k]}n=\log \stackrel{k}{\cdots} \log n$. the second is an.$o(\log^*n)$-round las vegas algorithm that asks $o(m\log n)$ queries. this.solves the first open problem for any practical $n$, for example,.$n<2^{65536}$. we also show that no deterministic algorithm can solve this.problem in a constant number of rounds. to solve the second problem we study.the case when $m$ is known. we first show that any non-adaptive monte carlo.algorithm (one-round) must ask at least $\omega(m^2\log n)$ queries, and any.two-round las vegas algorithm must ask at least $m^{4/3-o(1)}\log n$ queries on.average. we then give two two-round monte carlo algorithms, the first asks.$o(m^{4/3}\log n)$ queries for any $n$ and $m$, and the second asks $o(m\log.n)$ queries when $n>2^m$. finally, we give a $3$-round monte carlo algorithm.that asks $o(m\log n)$ queries for any $n$ and $m$.","['hasan abasi', 'nader h. bshouty']",on learning graphs with edge-detecting queries,http://arxiv.org/abs/1803.10639v1,2018
"the ekg or electrocardiogram sequence is defined by a(1) = 1, a(2) = 2 and,.for n >= 3, a(n) is the smallest natural number not already in the sequence.with the property that gcd {a(n-1), a(n)} > 1. in spite of its erratic local.behavior, which when plotted resembles an electrocardiogram, its global.behavior appears quite regular. we conjecture that almost all a(n) satisfy the.asymptotic formula a(n) = n(1 + 1/(3 log n) + o(n/log n)) as n goes to infty;.and that the exceptional values a(n) = p and a(n) = 3p, for p a prime, produce.the spikes in the ekg sequence. we prove that {a(n): n >= 1} is a permutation.of the natural numbers and that c_1 n <= a (n) <= c_2 n for constants c_1, c_2..there remains a large gap between what is conjectured and what is proved.","['j. c. lagarias', 'e. m. rains', 'n. j. a. sloane']",the ekg sequence,http://arxiv.org/abs/math/0204011v1,2002
in this paper we describe a dynamic data structure that answers.one-dimensional stabbing-max queries in optimal $o(\log n/\log\log n)$ time..our data structure uses linear space and supports insertions and deletions in.$o(\log n)$ and $o(\log n/\log \log n)$ amortized time respectively..  we also describe a $o(n(\log n/\log\log n)^{d-1})$ space data structure that.answers $d$-dimensional stabbing-max queries in $o((\log n/\log\log n)^{d})$.time. insertions and deletions are supported in $o((\log n/\log\log.n)^d\log\log n)$ and $o((\log n/\log\log n)^d)$ amortized time respectively.,['yakov nekrich'],a dynamic stabbing-max data structure with sub-logarithmic query time,http://arxiv.org/abs/1109.3890v1,2011
"we investigate the o($n$) nonintersecting loop model on the square lattice.under the constraint that the loops consist of ninety-degree bends only. the.model is governed by the loop weight $n$, a weight $x$ for each vertex of the.lattice visited once by a loop, and a weight $z$ for each vertex visited twice.by a loop. we explore the $(x,z)$ phase diagram for some values of $n$. for.$0<n<1$, the diagram has the same topology as the generic o($n$) phase diagram.with $n<2$, with a first-order line when $z$ starts to dominate, and an.o($n$)-like transition when $x$ starts to dominate. both lines meet in an.exactly solved higher critical point. for $n>1$, the o($n$)-like transition.line appears to be absent. thus, for $z=0$, the $(n,x)$ phase diagram displays.a line of phase transitions for $n\le 1$. the line ends at $n=1$ in an.infinite-order transition. we determine the conformal anomaly and the critical.exponents along this line. these results agree accurately with a recent.proposal for the universal classification of this type of model, at least in.most of the range $-1 \leq n \leq 1$. we also determine the exponent describing.crossover to the generic o($n$) universality class, by introducing topological.defects associated with the introduction of `straight' vertices violating the.ninety-degree-bend rule. these results are obtained by means of transfer-matrix.calculations and finite-size scaling.","['zhe fu', 'wenan guo', 'henk w. j. blöte']",special transitions in an o($n$) loop model with an ising-like.  constraint,http://arxiv.org/abs/1602.00088v1,2016
"the maket zero-power heavy water reactor has been used at itep to measure the.fission characteristics of the np, pu, am, and cm isotopes in the.0.52naf+0.48zrf_4 melt-filled salt blanket micromodel. the 237np(n,f),.238pu(n,f), 239pu(n,f), 240pu(n,f), 241pu(n,f), 242m^am(n,f), 243cm(n,f),.245cm(n,f), 247cm(n,f), 238u(n,f), 238u(n,g), 235u(n,f) fission reaction rates.have been measured. the neutron spectrum in the isotope irradiation locations.was monitored by measuring the rates of the (235u(n,f), 238u(n,g), 55mn(n,g),.63cu(n,g), 176lu(n,g), 197au(n,g), 115in(n,n'), 27al(n,4he), and 64zn(n,p)).reactions whose cross sections have been commonly accepted. the measured.functionals are compared with the respective results of mcnp code simulation.obtained using the endf/b6 and jendl3.2 neutron databases.","['yu. e. titarenko', 'o. v. shvedov', 'v. n. konev', 'm. m. igumnov', 'v. f. batyaev', 'e. i. karpikhin', 'v. m. zhivun', 'a. b. koldobsky', 'r. d. mulambetov', 'd. v. fischenko', 's. v. kvasova', 'e. f. fomushkin', 'v. v. gavrilov', 'g. f. novoselov', 'a. v. lopatkin', 'v. g. muratov', 'a. f. lositskiy', 'b. l. kurushin', 's. g. mashnik', 'h. yasuda']","fission parameters measurements for np, pu, am, and cm isotopes inside a.  salt blanket micromodel",http://arxiv.org/abs/nucl-ex/0209008v1,2002
"let $o(g)$ be the average order of the elements of $g$, where $g$ is a finite.group. we show that there is no polynomial lower bound for $o(g)$ in terms of.$o(n)$, where $n\trianglelefteq g$, even when $g$ is a prime-power order group.and $n$ is abelian. this gives a negative answer to a question of.a.~jaikin-zapirain.","['e. i. khukhro', 'a. moretó', 'm. zarrin']",the average element order and the number of conjugacy classes of finite.  groups,http://arxiv.org/abs/2009.08226v1,2020
"in this paper, we study a discrete random variable $w_a$: $$ x = \left\{x_i.\;\big{|}\;\frac{a-i}{a} \right\},\; \mathbb{p}(w_a = x_i) =.\frac{1}{a},\;i=1,..,a,\;\;a \in \mathbb{n}^{*}$$ its characteristics are.found. it is shown that the variance of the sum of random variables: $$.var\big[\sum_{a=1}^{n}w_a\big] = \sum_{i=1}^{a}\sum_{j=1}^{b}cov(w_a,w_b) $$ $$.cov(w_a,w_b) = \frac{gcd(a,b)^2-1}{12 a b}$$ the variance estimate is given: $$.var\big[\sum_{a=1}^{n}w_a\big] = o\left(n \ln{n} - n + o(n) - h_n^2\right) $$.it is shown that when considering: $$\left \lfloor{\frac{x}{a}}\right \rfloor =.\frac{x}{a} - e[w_a]$$ we can get the formula for counting $d(n)$ -- the number.of lattice points under the hyperbola $\frac{n}{xy},\; 1 \leq x \leq n,\; 1.\leq y \leq n$: $$d(n) = n \ln{n} + (2\gamma - 1)n + h_{\sqrt{n}} + o(1) $$.satisfied with a standard deviation of the order $o\left(\sqrt{\sqrt{n}.\ln{\sqrt{n}} - \sqrt{n} + o(\sqrt{n}) - h_n^2}\right)$ with the hidden.constant in main term $ c = \frac{1}{2\pi^2}$. therefore, we can say that this.estimate is $ o(n^{\frac{1}{4}+\epsilon})$ since: $$\lim_{n \to.\infty}\left(\frac{x^{\frac{1}{4}+\epsilon}}{\sqrt{\sqrt{n} \ln{\sqrt{n}} +.\sqrt{n} - h_n^2}}\right) = 0 $$ for some very small $\epsilon$.",['dmitry s. pyatin'],on the random variable $w_a$ and its connection with the dirichlet.  divisor problem,http://arxiv.org/abs/2007.01920v1,2020
"we study some arithmetic properties of the ramanujan function $\tau(n)$, such.as the largest prime divisor $p(\tau(n))$ and the number of distinct prime.divisors $\omega(\tau(n))$ of $\tau(n)$ for various sequences of $n$. in.particular, we show that \hbox{$p(\tau(n)) \geq (\log n)^{33/31 + o(1)}$} for.infinitely many $n$, and \begin{equation*} p(\tau(p)\tau(p^2)\tau(p^3)) >.(1+o(1))\frac{\log\log p\log\log\log p} {\log\log\log\log p} \end{equation*}.for every prime $p$ with \hbox{$\tau(p)\neq 0$}.","['florian luca', 'igor e shparlinski']",arithmetic properties of the ramanujan function,http://arxiv.org/abs/math/0607591v1,2006
"we present several new results on one of the most extensively studied topics.in computational geometry, orthogonal range searching. all our results are in.the standard word ram model for points in rank space:.  ** we present two data structures for 2-d orthogonal range emptiness. the.first achieves o(n lglg n) space and o(lglg n) query time. this improves the.previous results by alstrup, brodal, and rauhe(focs'00), with o(n lg^eps n).space and o(lglg n) query time, or with o(nlglg n) space and o(lg^2 lg n) query.time. our second data structure uses o(n) space and answers queries in o(lg^eps.n) time. the best previous o(n)-space data structure, due to nekrich (wads'07),.answers queries in o(lg n/lglg n) time..  ** for 3-d orthogonal range reporting, we obtain space o(n lg^{1+eps} n) and.query time o(lglg n + k), for any constant eps>0. this improves previous.results by afshani (esa'08), karpinski and nekrich (cocoon'09), and chan.(soda'11), with o(n lg^3 n) space and o(lglg n + k) query time, or with o(n.lg^{1+eps} n) space and o(lg^2 lg n + k) query time. this implies improved.bounds for orthogonal range reporting in all constant dimensions above 3..  ** we give a randomized algorithm for 4-d offline dominance range.reporting/emptiness with running time o(n lg n + k). this resolves two open.problems from preparata and shamos' seminal book:.  **** given n axis-aligned rectangles in the plane, we can report all k.enclosure pairs in o(n lg n + k) expected time. the best known result was an.o([n lg n + k] lglg n) algorithm from socg'95 by gupta, janardan, smid, and.dasgupta..  **** given n points in 4-d, we can find all maximal points in o(n lg n).expected time. the best previous result was an o(n lg n lglg n) algorithm due.to gabow, bentley, and tarjan (stoc'84). this implies record time bounds for.the maxima problem in all constant dimensions above 4.","['timothy m. chan', 'kasper green larsen', 'mihai patrascu']","orthogonal range searching on the ram, revisited",http://arxiv.org/abs/1103.5510v1,2011
"we present a new proof of the k\h{o}v\'{a}ri-s\'{o}s-tur\'{a}n theorem that.$ex(n, k_{s,t}) = o(n^{2-1/t})$ for $s, t \geq 2$. the new proof is elementary,.avoiding the use of convexity. for any $d$-uniform hypergraph $h$, let.$ex_d(n,h)$ be the maximum possible number of edges in an $h$-free $d$-uniform.hypergraph on $n$ vertices. let $k_{h, t}$ be the $(d+1)$-uniform hypergraph.obtained from $h$ by adding $t$ new vertices $v_1, \dots, v_t$ and replacing.every edge $e$ in $e(h)$ with $t$ edges $e \cup \left\{v_1\right\},\dots, e.\cup \left\{v_t\right\}$ in $e(k_{h, t})$. if $h$ is the $1$-uniform hypergraph.on $s$ vertices with $s$ edges, then $k_{h, t} = k_{s, t}$..  we prove that $ex_{d+1}(n,k_{h,t}) = o(ex_d(n, h)^{1/t} n^{d+1-d/t} + t n^d)$.for any $d$-uniform hypergraph $h$ with at least two edges such that $ex_d(n,.h) = o(n^d)$. thus $ex_{d+1}(n,k_{h,t}) = o(n^{d+1-1/t})$ for any $d$-uniform.hypergraph $h$ with at least two edges such that $ex_d(n, h) = o(n^{d-1})$,.which implies the k\h{o}v\'{a}ri-s\'{o}s-tur\'{a}n theorem in the $d = 1$ case..this also implies that $ex_{d+1}(n, k_{h,t}) = o(n^{d+1-1/t})$ when $h$ is a.$d$-uniform hypergraph with at least two edges in which all edges are pairwise.disjoint, which generalizes an upper bound proved by mubayi and verstra\""{e}te.(jcta, 2004). we also obtain analogous bounds for 0-1 matrix tur\'{a}n.problems.",['jesse geneson'],a generalization of the kővári-sós-turán theorem,http://arxiv.org/abs/2002.05336v2,2020
"we prove that uniform circuits of size n can be evaluated in space o(n/log.n). thus, space(o(n)) is not in uniform size(o(n*log n)). for uniformity, we.only require that the circuit is o(n/log n)-space uniform. we also generalize.the construction to prove that a machine with o(n^delta) (delta<1) internal.storage and o(2^n^delta) length single-bit-access read-write ram that does only.o(n) ram reads (1 bit per read) can be simulated in space o(n * log log n / log.n).",['dmytro taranovsky'],space-efficient circuit evaluation,http://arxiv.org/abs/1208.2217v1,2012
"a critical dilute o($n$) model on the kagome lattice is investigated.analytically and numerically. we employ a number of exact equivalences which,.in a few steps, link the critical o($n$) spin model on the kagome lattice to.the exactly solvable critical $q$-state potts model on the honeycomb lattice.with $q=(n+1)^2$. the intermediate steps involve the random-cluster model on.the honeycomb lattice, and a fully packed loop model with loop weight.$n'=\sqrt{q}$ and a dilute loop model with loop weight $n$, both on the kagome.lattice. this mapping enables the determination of a branch of critical points.of the dilute o($n$) model, as well as some of its critical properties. for.$n=0$, this model reproduces the known universal properties of the $\theta$.point describing the collapse of a polymer. for $n\neq 0$ it displays a line of.multicritical points, with the same universal properties as a branch of.critical behavior that was found earlier in a dilute o($n$) model on the square.lattice. these findings are supported by a finite-size-scaling analysis in.combination with transfer-matrix calculations.","['biao li', 'wenan guo', 'henk w. j. blöte']",critical properties of a dilute o($n$) model on the kagome lattice,http://arxiv.org/abs/0805.2678v1,2008
"the asymptotic behavior, as $n\rightarrow \infty $ of the conditional.distribution of the number of particles in a decomposable critical branching.process $\mathbf{z}% (m)=(z_{1}(m),...,z_{n}(m)),$ with $n$ types of particles.at moment $m=n-k,\, k=o(n),$ is investigated given that the extinction moment.of the process is $n$.","['v. a. vatutin', 'e. e. dyakonova']",extinction of decomposable branching processes,http://arxiv.org/abs/1509.00759v1,2015
"we use far ultraviolet spectrocopic explorer (fuse) observations to study.interstellar absorption along the line of sight to the white dwarf wd1634-573.(d=37.1+/-2.6 pc). combining our measurement of d i with a measurement of h i.from extreme ultraviolet explorer data, we find a d/h ratio toward wd1634-573.of d/h=(1.6+/-0.5)e-5. in contrast, multiplying our measurements of d i/o.i=0.035+/-0.006 and d i/n i=0.27+/-0.05 with published mean galactic ism gas.phase o/h and n/h ratios yields d/h(o)=(1.2+/-0.2)e-5 and.d/h(n)=(2.0+/-0.4)e-5, respectively. note that all uncertainties quoted above.are 2 sigma. the inconsistency between d/h(o) and d/h(n) suggests that either.the o i/h i and/or the n i/h i ratio toward wd1634-573 must be different from.the previously measured average ism o/h and n/h values. the computation of.d/h(n) from d i/n i is more suspect, since the relative n and h ionization.states could conceivably vary within the lism, while the o and h ionization.states will be more tightly coupled by charge exchange.","['b. e. wood', 'j. l. linsky', 'g. hebrard', 'a. vidal-madjar', 'm. lemoine', 'h. w. moos', 'k. r. sembach', 'e. b. jenkins']",deuterium toward wd1634-573: results from the far ultraviolet.  spectroscopic explorer (fuse) mission,http://arxiv.org/abs/astro-ph/0112296v1,2001
"let m be a random (alpha n) x n matrix of rank r<<n, and assume that a.uniformly random subset e of its entries is observed. we describe an efficient.algorithm that reconstructs m from |e| = o(rn) observed entries with relative.root mean square error rmse <= c(rn/|e|)^0.5 . further, if r=o(1), m can be.reconstructed exactly from |e| = o(n log(n)) entries. these results apply.beyond random matrices to general low-rank incoherent matrices..  this settles (in the case of bounded rank) a question left open by candes and.recht and improves over the guarantees for their reconstruction algorithm. the.complexity of our algorithm is o(|e|r log(n)), which opens the way to its use.for massive data sets. in the process of proving these statements, we obtain a.generalization of a celebrated result by friedman-kahn-szemeredi and feige-ofek.on the spectrum of sparse random matrices.","['raghunandan h. keshavan', 'andrea montanari', 'sewoong oh']",matrix completion from a few entries,http://arxiv.org/abs/0901.3150v4,2009
"fix integers $n \ge r \ge 2$. a clique partition of ${[n] \choose r}$ is a.collection of proper subsets $a_1, a_2, \ldots, a_t \subset [n]$ such that.$\bigcup_i{a_i \choose r}$ is a partition of ${[n] \choose r}$..  let $\cp(n,r)$ denote the minimum size of a clique partition of.  ${[n] \choose r}$..  a classical theorem of de bruijn and erd\h os states that $\cp(n, 2) = n$. in.this paper we study $\cp(n,r)$, and show in general that for each fixed $r \geq.3$, \[ \cp(n,r) \geq (1 + o(1))n^{r/2} \quad \quad \mbox{as}n.  \rightarrow \infty.\] we conjecture $\cp(n,r) = (1 + o(1))n^{r/2}$. this.conjecture has already been verified (in a very strong sense) for $r = 3$ by.hartman-mullin-stinson. we give further evidence of this conjecture by.constructing, for each $r \ge 4$, a family of $(1+o(1))n^{r/2}$ subsets of.$[n]$ with the following property: no two $r$-sets of $[n]$ are covered more.than once and all but $o(n^r)$ of the $r$-sets of $[n]$ are covered..  we also give an absolute lower bound $\cp(n,r) \geq {n \choose r}/{q + r - 1.\choose r}$ when $n = q^2 + q + r - 1$, and for each $r$ characterize the.finitely many configurations achieving equality with the lower bound. finally.we note the connection of $\cp(n,r)$ to extremal graph theory, and determine.some new asymptotically sharp bounds for the zarankiewicz problem.","['noga alon', 'keith e. mellinger', 'dhruv mubayi', 'jacques verstraëte']",the de bruijn-erdos theorem for hypergraphs,http://arxiv.org/abs/1007.4150v1,2010
"in the planar range skyline reporting problem, we store a set p of n 2d.points in a structure such that, given a query rectangle q = [a_1, a_2] x [b_1,.b_2], the maxima (a.k.a. skyline) of p \cap q can be reported efficiently. the.query is 3-sided if an edge of q is grounded, giving rise to two variants:.top-open (b_2 = \infty) and left-open (a_1 = -\infty) queries..  all our results are in external memory under the o(n/b) space budget, for.both the static and dynamic settings:.  * for static p, we give structures that answer top-open queries in o(log_b n.+ k/b), o(loglog_b u + k/b), and o(1 + k/b) i/os when the universe is r^2, a u.x u grid, and a rank space grid [o(n)]^2, respectively (where k is the number.of reported points). the query complexity is optimal in all cases..  * we show that the left-open case is harder, such that any linear-size.structure must incur \omega((n/b)^e + k/b) i/os for a query. we show that this.case is as difficult as the general 4-sided queries, for which we give a static.structure with the optimal query cost o((n/b)^e + k/b)..  * we give a dynamic structure that supports top-open queries in o(log_2b^e.(n/b) + k/b^1-e) i/os, and updates in o(log_2b^e (n/b)) i/os, for any e.satisfying 0 \le e \le 1. this leads to a dynamic structure for 4-sided queries.with optimal query cost o((n/b)^e + k/b), and amortized update cost o(log.(n/b))..  as a contribution of independent interest, we propose an i/o-efficient.version of the fundamental structure priority queue with attrition (pqa). our.pqa supports findmin, deletemin, and insertandattrite all in o(1) worst case.i/os, and o(1/b) amortized i/os per operation..  we also add the new catenateandattrite operation that catenates two pqas in.o(1) worst case and o(1/b) amortized i/os. this operation is a non-trivial.extension to the classic pqa of sundar, even in internal memory.","['casper kejlberg-rasmussen', 'yufei tao', 'konstantinos tsakalidis', 'kostas tsichlas', 'jeonghun yoon']",i/o-efficient planar range skyline and attrition priority queues,http://arxiv.org/abs/1306.2815v1,2013
"this note presents a deterministic integer factorization algorithm of running.time complexity o(n^(1/6+e)), e > 0. this improves the current performances of.deterministic integer factorization algorithms rated at o(n^(1/4+e)) arithmetic.operations. equivalently, given the least (log n)/6 bits of a factor of n = pq,.the algorithm factors the integer in polynomial time o(log(n)^c), c > 0.constant.",['n. a. carella'],deterministic integer factorization algorithms,http://arxiv.org/abs/1308.2891v2,2013
